url,discoverySource,httpStatus,pageType,title,metaDescription,h1,canonical,indexable,wordCount,internalLinkCount,externalLinkCount,imageCount,imagesWithoutAlt,hasJsonLd,jsonLdTypes,structuredDataNote
https://www.keyholesurgeon.co.uk/,sitemap.xml,200,other,Prof. Hemant Sheth | Laparoscopic Surgeon London | Anti Reflux Surgery Hertfordshire,"Prof. Hemant Sheth is a consultant laparoscopic surgeon in Hertfordshire, Harrow and London UK. He offers anti-reflux surgery, fundoplication, diaphragmatic hernia surgery, laparoscopic cholecystectomy and bile duct exploration.",,(none set),true,875,45,16,16,2,true,unparsed,JSON-LD present but did not parse as valid JSON on at least one block — technical defect to fix in rebuild
https://www.keyholesurgeon.co.uk/general-appointment-laparoscopic-surgeon-hertfordshire-harrow-london/,sitemap.xml,200,other,General Appointment | Prof. Hemant Sheth | Consultant Laparoscopic Surgeon Harrow UK,"Click here for an appointment with consultant laparoscopic surgeon Prof. Hemant Sheth in Hertfordshire, Harrow and Elstree UK. For more information, please call 020 3371 1785.",General Appointment,(none set),true,458,30,16,14,2,true,unparsed,JSON-LD present but did not parse as valid JSON on at least one block — technical defect to fix in rebuild
https://www.keyholesurgeon.co.uk/dr-hemant-sheth-general-laparoscopic-surgeon-hertfordshire-harrow-london/,sitemap.xml,200,bio,Prof. Hemant Sheth | General Surgeon Hertfordshire | HPB Surgery Harrow,"Mr Hemant is a general surgeon in Hertfordshire, Harrow and London UK. He offers general surgery, HPB surgery, anti-reflux surgery and bile duct exploration.",Prof. Hemant Sheth,(none set),true,1779,36,23,14,2,true,unparsed|physician,JSON-LD present but did not parse as valid JSON on at least one block — technical defect to fix in rebuild
https://www.keyholesurgeon.co.uk/contact-us-general-laparoscopic-surgeon-hertfordshire-harrow-london/,sitemap.xml,200,other,"Contact | Prof. Hemant Sheth, Consultant General, Laparoscopic, Upper GI & HPB Surgeon, Hertfordshire, Harrow, Northwest London","Prof. Hemant Sheth is a general and laparoscopic surgeon in Hertfordshire, Harrow and Elstree. He specializes in upper GI and HPB surgery.",Contact,(none set),true,288,30,16,11,2,true,unparsed|LocalBusiness,JSON-LD present but did not parse as valid JSON on at least one block — technical defect to fix in rebuild
https://www.keyholesurgeon.co.uk/services-general-laparoscopic-surgeon-hertfordshire-harrow-london/,sitemap.xml,200,service/condition,"Services | Prof. Hemant Sheth, Consultant General, Laparoscopic, Upper GI & HPB Surgeon, Hertfordshire, Harrow, Northwest London","Prof. Hemant Sheth is a general and laparoscopic surgeon in Hertfordshire, Harrow and Elstree. He specializes in upper GI and HPB surgery.",Services,(none set),true,192,39,13,15,2,true,unparsed|physician,JSON-LD present but did not parse as valid JSON on at least one block — technical defect to fix in rebuild
https://www.keyholesurgeon.co.uk/patient-education-videos-general-laparoscopic-surgeon-hertfordshire-harrow-london/,sitemap.xml,200,other,"Patient Education Videos | Prof. Hemant Sheth, Consultant General, Laparoscopic, Upper GI & HPB Surgeon, Hertfordshire, Harrow, Northwest London","Prof. Hemant Sheth is a general and laparoscopic surgeon in Hertfordshire, Harrow and Elstree. He specializes in upper GI and HPB surgery.",Patient Education Videos,(none set),true,257,26,13,14,2,true,unparsed,JSON-LD present but did not parse as valid JSON on at least one block — technical defect to fix in rebuild
https://www.keyholesurgeon.co.uk/conditions-gastroenterology-gastrointestinal-general-laparoscopic-surgeon-hertfordshire-harrow-london/,sitemap.xml,200,service/condition,Abdominal Pain London UK | Gastric Diseases | Gallstones Harrow UK,"General surgeon Prof. Hemant Sheth in Hertfordshire, Harrow and London UK offers treatment for abdominal pain, gastric diseases and gallstones.",Gastroenterology Conditions,(none set),true,699,55,13,39,2,true,unparsed,JSON-LD present but did not parse as valid JSON on at least one block — technical defect to fix in rebuild
https://www.keyholesurgeon.co.uk/general-conditions-laparoscopic-surgeon-hertfordshire-harrow-london/,sitemap.xml,200,service/condition,Hernia Hertfordshire | Pilonidal Sinus London UK | Skin Cancer Hertfordshire,"Prof. Hemant Sheth is an upper GI specialist and consultant general surgeon in Hertfordshire, Harrow and London UK. He offers treatment for hernia, pilonidal sinus and skin cancer.",General Surgery Conditions,(none set),true,375,37,13,22,2,true,unparsed,JSON-LD present but did not parse as valid JSON on at least one block — technical defect to fix in rebuild
https://www.keyholesurgeon.co.uk/patient-forms-general-laparoscopic-surgeon-hertfordshire-harrow-london/,sitemap.xml,200,patient-info,Patient Forms | Prof. Hemant Sheth | Upper GI Specialist London UK,"Click here to download patient forms. Upper GI specialist Prof. Hemant Sheth offers general surgery in Hertfordshire, Harrow and London UK.",Patient Forms,(none set),true,132,26,13,14,2,true,unparsed,JSON-LD present but did not parse as valid JSON on at least one block — technical defect to fix in rebuild
https://www.keyholesurgeon.co.uk/first-visit-guide-general-laparoscopic-surgeon-hertfordshire-harrow-london/,sitemap.xml,200,patient-info,First Visit | Prof. Hemant Sheth | General Surgeon Hertfordshire,"Kindly bring a valid ID along with your medical documents when you come to visit general surgeon Prof. Hemant Sheth in Hertfordshire, Harrow and London UK.",First Visit Guide,(none set),true,237,26,13,14,2,true,unparsed,JSON-LD present but did not parse as valid JSON on at least one block — technical defect to fix in rebuild
