existingUrl,httpStatus,recommendedDestination,redirectRequired,migrationDecision,medicalReviewClassification,searchTraffic,backlinks,verificationStatus,notes
https://www.keyholesurgeon.co.uk/,200,/,n/a — investigate first,keep,reusable-after-editing,not available,not available,n/a,Homepage. Full rebuild of layout/content; canonical positioning pending client approval (docs/04-content-verification.md).
https://www.keyholesurgeon.co.uk/general-appointment-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/appointments,yes (301),redirect,n/a,not available,not available,n/a,Old appointment page replaced by the new appointment request flow (Phase D).
https://www.keyholesurgeon.co.uk/dr-hemant-sheth-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/about,yes (301),redirect,requires-doctor-confirmation,not available,not available,pending,"Biography. GMC number, exact title, 'Clinical Professor' claim, current NHS role all unverified — see evidence-hierarchy table."
https://www.keyholesurgeon.co.uk/contact-us-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/contact,yes (301),redirect,reusable-after-editing,not available,not available,n/a,Contact hub; content merges into /contact and /locations.
https://www.keyholesurgeon.co.uk/services-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/treatments,yes (301),redirect,reusable-after-editing,not available,not available,n/a,Services overview replaced by the new Treatments hub.
https://www.keyholesurgeon.co.uk/patient-education-videos-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/videos-media,n/a — investigate first,investigate,requires-doctor-confirmation,not available,not available,pending,Video licensing/hosting rights and current relevance of each embedded video are unverified.
https://www.keyholesurgeon.co.uk/conditions-gastroenterology-gastrointestinal-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/treatments,yes (301),merge,requires-clinical-rewrite,not available,not available,pending,"Thin, templated symptom/condition stub — meta description follows the same formulaic pattern across dozens of old-site pages, a content-mill signal, not written specifically for this practice. Consolidate rather than reuse."
https://www.keyholesurgeon.co.uk/general-conditions-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/treatments,yes (301),merge,requires-clinical-rewrite,not available,not available,pending,"Thin, templated symptom/condition stub — meta description follows the same formulaic pattern across dozens of old-site pages, a content-mill signal, not written specifically for this practice. Consolidate rather than reuse."
https://www.keyholesurgeon.co.uk/patient-forms-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/patient-information/forms,yes (301),redirect,requires-doctor-confirmation,not available,not available,pending,Confirm forms are current before republishing as downloads.
https://www.keyholesurgeon.co.uk/first-visit-guide-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/patient-information/preparing-for-your-appointment,yes (301),redirect,reusable-after-editing,not available,not available,n/a,
https://www.keyholesurgeon.co.uk/post-op-instructions-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/patient-information/post-operative-guidance,yes (301),redirect,requires-clinical-rewrite,not available,not available,pending,"CONFIRMED DEFECT: contains orthopaedic boilerplate (operated extremity elevation, joint motion, finger/toe colour) inapplicable to abdominal/laparoscopic surgery. Do not migrate content verbatim."
https://www.keyholesurgeon.co.uk/insurance-info-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/patient-information/insurance-and-fees,yes (301),redirect,requires-doctor-confirmation,not available,not available,pending,Fees/insurer list needs current confirmation.
https://www.keyholesurgeon.co.uk/patient-reviews-testimonials-f14143/,200,/patient-reviews,n/a — investigate first,investigate,requires-doctor-confirmation,not available,not available,pending,3 named testimonials shown; consent/attribution/source-platform (possibly I Want Great Care) unconfirmed.
https://www.keyholesurgeon.co.uk/useful-links-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/patient-information,yes (301),merge,reusable-after-editing,not available,not available,n/a,Thin page; fold into Patient Information as a short links section.
https://www.keyholesurgeon.co.uk/research-and-publications-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/research-publications,yes (301),redirect,requires-doctor-confirmation,not available,not available,pending,Publication list needs currency/accuracy check against author's actual output.
https://www.keyholesurgeon.co.uk/gastroesophageal-reflux-disease-gerd-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/treatments/anti-reflux-surgery,yes (301),merge,requires-clinical-rewrite,not available,not available,pending,
https://www.keyholesurgeon.co.uk/upper-gi-endoscopy-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/treatments/upper-gi-endoscopy,yes (301),merge,requires-clinical-rewrite,not available,not available,pending,
https://www.keyholesurgeon.co.uk/laparoscopic-cholecystectomy-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/treatments/gallbladder-surgery,yes (301),merge,requires-clinical-rewrite,not available,not available,pending,
https://www.keyholesurgeon.co.uk/hernia-repair-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/treatments/hernia-surgery,yes (301),merge,requires-clinical-rewrite,not available,not available,pending,"One of 10 overlapping hernia-repair URLs on the old site; consolidate into a single well-structured hernia-surgery treatment page (with sub-sections, not 10 near-duplicate pages)."
https://www.keyholesurgeon.co.uk/anti-reflux-surgery-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/treatments/anti-reflux-surgery,yes (301),merge,requires-clinical-rewrite,not available,not available,pending,
https://www.keyholesurgeon.co.uk/upper-gi-procedures-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/treatments/upper-gi-endoscopy,yes (301),merge,requires-clinical-rewrite,not available,not available,pending,
https://www.keyholesurgeon.co.uk/laparoscopic-common-bile-duct-exploration-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/treatments/bile-duct-exploration,yes (301),merge,requires-clinical-rewrite,not available,not available,pending,
https://www.keyholesurgeon.co.uk/laparoscopic-liver-resection-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/treatments/liver-and-spleen-surgery,yes (301),merge,requires-clinical-rewrite,not available,not available,pending,
https://www.keyholesurgeon.co.uk/splenectomy-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/treatments/liver-and-spleen-surgery,yes (301),merge,requires-clinical-rewrite,not available,not available,pending,
https://www.keyholesurgeon.co.uk/treatments-for-hpb-disorders-general-laparoscopic-surgeon-hertfordshire-harrow-london/,200,/treatments/liver-and-spleen-surgery,yes (301),merge,requires-clinical-rewrite,not available,not available,pending,
